S No.,CHEMICAL CONSTITUENTS,BIOLOGICAL ACTIVITY
1.,"Bruceine B^1,2","Amebicide, Antimalarial, Antiplasmodial, Cytotoxic, Insecticide, Pesticide, Plasmodicide, Protisticide, Trypanocide^3"
2.,"Bruceine D^1,2","Amebicide, Anticancer, Antileukemic, Antimalarial, Antitumour, Cytotoxic, Pesticide, Plasmodicide, Protisticide, Trypanocide3, Antiphytoviral4"
3.,"Brusatol^1,2 ","Amebicide, Anticancer, Antifeedant, Antigiardial, Antileukemic, Antimalarial, Antitumor, Cytotoxic, Pesticide, Plasmodicide, Protisticide, Trypanocide3"
4. ,"Bruceoside B^1,2",-
5.,"Yadanziolide A^1,2","Antimalarial, Pesticide3"
6.,"Soulameanone 1,2",-
7.,"11-Hydroxycanthin-6-one 1,2","Cytotoxic, Antileukemic"
8.,"Bruceolline A 1,2",-
9.,"Bruceolline B 1,4",-
10.,"Bruceolline C 1,2",-
11.,"Bruceolline D 1,2",-
12.,"Bruceolline E 1,2",-
13.,"Bruceolline F 1,2",-
14.,"Bruceolline G 1,2",-
15.,"5,11-Dimethoxycanthin-6-one 1,2",-
16.,11-Hydroxycanthin-6-one N-oxide 2,-
17.,"11-hydroxy-1-methoxycanthin-6 1,5",-
18.,"1-(Hydroxymethyl) ?-carboline 1,5",-
19.,1-Ethyl- ?–carboline 5,"Antibacterial, CNS-Depressant, Hypotensive, Pesticide 3"
20.,"9H-pyridol3,4-lindole-1-ethanol 5",-
21.,"? -Carboline-1-propionic acid 1,5",Camp inhibitor 3
22.,"Canthin-6-one N –oxide 1,2",-
23.,11-O-?-D-glucopyranosyl-(1-6)?-D,
24,"glucopyranosylcanthin-6-one 1,2",
25,5-O-?–Dglucopyranosyl-(1-6)-?-D,
26,"glucopyranosylcanthin-6-one 1,2",
27,"1-(2’-hydroxymethyl) ?-carboline 1,5",
28,Bruceollines H-N 122 6,
29,Bruceollines H-N 222 6,
30,Bruceollines H-N 322 6,
31,Bruceollines H-N 422 6,
32,Bruceollines H-N 522 6,
33,Bruceollines H-N 622 6,
34,Bruceollines H-N 722 6,
35,Yadanziolides T-V 10 22 6,Cytotoxic22 6
36,Yadanziolides T-V 1122 6,
37,Yadanziolides T-V 1222 6,
38,Bruceolline E22 6,
39,Bruceolline F22 6,
40,Bruceine D22 6,Cytotoxic22 6
41,"Canthin-6-one 1,7","Antibacterial, Antileukemic, Antimycotic, Antiseptic, Cytotoxic, Fungicide, Pesticide and Camp- inhibitor 3"
42,Yadanziolide B22 6,Cytotoxic22 6
43,"1- Hydroxy-11-methoxycanthin-6-one 1,2",Cytotoxic 3
